City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Haileybury,CA,47.449,-79.6373,17.58,98,99,2.28,overcast clouds
174,Odienne,CI,9.51,-7.5692,70.18,22,71,3.78,broken clouds
175,Arraial Do Cabo,BR,-22.9661,-42.0278,74.39,94,100,13.2,overcast clouds
176,Koygorodok,RU,60.445,50.9968,13.77,97,100,4.34,overcast clouds
177,Bethel,US,41.3712,-73.414,37.26,93,100,4.7,snow
178,Krasnyye Baki,RU,57.131,45.1599,23.22,95,97,8.95,overcast clouds
179,Acari,PE,-15.4311,-74.6158,71.44,81,91,1.86,overcast clouds
180,Mayo,US,38.8876,-76.5119,39.15,94,100,5.75,mist
181,Kodinsk,RU,58.6881,99.1844,-1.48,87,99,7.09,overcast clouds
182,Tazovskiy,RU,67.4667,78.7,-7.08,93,100,12.53,overcast clouds
183,Port Macquarie,AU,-31.4333,152.9167,77.9,57,57,8.28,broken clouds
184,Jaciara,BR,-15.9653,-54.9683,69.96,98,100,0.31,overcast clouds
185,Olafsvik,IS,64.8945,-23.7142,31.32,92,100,40.44,snow
186,East London,ZA,-33.0153,27.9116,74.34,83,0,2.3,clear sky
187,Coos Bay,US,43.3665,-124.2179,51.01,100,100,5.75,mist
188,Vila Velha,BR,-20.3297,-40.2925,78.75,89,40,8.05,scattered clouds
189,Vilyuysk,RU,63.7553,121.6247,-16.56,92,100,4.99,overcast clouds
190,Kavieng,PG,-2.5744,150.7967,85.01,68,59,7.11,broken clouds
191,Miracatu,BR,-24.2814,-47.4597,69.85,95,60,1.16,broken clouds
192,Virginia Beach,US,36.8529,-75.978,42.03,95,100,1.99,overcast clouds
193,San Patricio,US,28.017,-97.5169,54.84,59,17,6.51,few clouds
194,Yaan,NG,7.3833,8.5667,72.45,20,76,4.54,broken clouds
195,Iqaluit,CA,63.7506,-68.5145,-5.31,63,100,8.99,overcast clouds
196,Liverpool,GB,53.4106,-2.9779,53.69,86,20,23.02,few clouds
197,Ferkessedougou,CI,9.6,-5.2,71.15,23,1,5.12,clear sky
198,Karuzi,BI,-3.125,30.1333,61.12,94,100,2.33,overcast clouds
199,Elizabeth City,US,36.2946,-76.2511,42.03,98,100,1.01,overcast clouds
200,Grao Mogol,BR,-16.5594,-42.8897,65.03,95,100,1.25,moderate rain
201,Oksfjord,NO,70.2396,22.3479,31.12,86,82,11.25,broken clouds
202,Sioux Lookout,CA,50.1001,-91.917,12.15,95,95,7.25,overcast clouds
203,Tiksi,RU,71.6872,128.8694,-24.88,99,47,5.44,scattered clouds
204,Omsukchan,RU,62.5333,155.8,-15.2,81,52,2.71,broken clouds
205,Lethem,GY,3.3803,-59.7968,77.9,74,95,10.04,overcast clouds
206,Tyrma,RU,50.0833,132.1667,8.35,80,99,3.62,overcast clouds
207,Manglaur,IN,29.8,77.8667,60.55,48,0,0.69,clear sky
208,Balrampur,IN,27.4333,82.1833,64.15,57,0,0.6,clear sky
209,Paraiso,CR,9.8383,-83.8656,63.88,88,97,2.35,overcast clouds
210,Sorland,NO,67.667,12.6934,35.67,93,100,26.26,light rain
211,Pisco,PE,-13.7,-76.2167,67.01,88,0,3.44,clear sky
212,Cayenne,GF,4.9333,-52.3333,80.1,84,75,4.61,broken clouds
213,Serov,RU,59.6033,60.5787,-4.81,98,100,4.12,overcast clouds
214,Rantepao,ID,-2.9701,119.8978,80.58,67,100,2.86,overcast clouds
215,Georgetown,MY,5.4112,100.3354,91.33,73,20,12.66,few clouds
216,Flinders,AU,-34.5833,150.8552,76.8,72,44,6.76,scattered clouds
217,Hithadhoo,MV,-0.6,73.0833,82.99,68,95,15.19,overcast clouds
218,Herat,AF,34.5,62.0,41.68,67,45,4.85,scattered clouds
219,Dennery,LC,13.8996,-60.8879,77.09,73,40,14.97,scattered clouds
220,Kamaishi,JP,39.2667,141.8833,38.57,52,99,16.24,overcast clouds
221,Babaeski,TR,41.4325,27.0931,36.52,96,100,13.82,light rain
222,Rindal,NO,63.0565,9.2124,35.42,91,78,22.08,broken clouds
223,Christchurch,NZ,-43.5333,172.6333,67.48,68,100,12.66,overcast clouds
224,Sumbe,AO,-11.2061,13.8437,75.83,82,100,6.22,overcast clouds
225,Atherton,GB,53.5237,-2.4935,52.9,83,51,8.99,broken clouds
226,Linxia,CN,35.6003,103.2064,21.97,70,100,2.77,overcast clouds
227,Sovetskoye,RU,52.2861,85.4131,11.26,86,59,1.03,broken clouds
228,Margate,GB,51.3813,1.3862,51.66,74,100,5.01,overcast clouds
229,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,77,100,6.8,overcast clouds
230,Ola,RU,59.5833,151.2833,17.15,68,89,8.97,overcast clouds
231,Bambous Virieux,MU,-20.3428,57.7575,82.65,78,75,12.66,broken clouds
232,Tura,IN,25.5198,90.2201,67.98,44,0,3.91,clear sky
233,Kruisfontein,ZA,-34.0033,24.7314,70.9,48,1,1.72,clear sky
234,Luanda,AO,-8.8368,13.2343,72.99,89,99,5.37,overcast clouds
235,Jiangyou,CN,31.7667,104.7167,45.12,53,89,5.26,overcast clouds
236,Victor Harbor,AU,-35.5667,138.6167,78.8,52,95,3.0,light rain
237,Chany,RU,55.3121,76.7647,2.46,96,12,5.82,few clouds
238,Bonthe,SL,7.5264,-12.505,75.52,93,76,5.5,broken clouds
239,Lagoa,PT,39.05,-27.9833,58.89,67,83,7.31,broken clouds
240,Kenai,US,60.5544,-151.2583,23.14,90,100,23.02,light snow
241,Nantucket,US,41.2835,-70.0995,46.96,93,100,16.11,light rain
242,Santa Lucia,ES,27.9117,-15.5407,60.12,45,0,1.14,clear sky
243,Darhan,MN,49.4867,105.9228,7.72,79,28,1.01,scattered clouds
244,Caravelas,BR,-17.7125,-39.2481,75.97,89,47,5.01,scattered clouds
245,Sur,OM,22.5667,59.5289,69.57,59,3,5.39,clear sky
246,Puerto Escondido,MX,15.85,-97.0667,79.63,69,20,4.61,few clouds
247,Haines Junction,CA,60.7522,-137.5108,17.49,96,100,4.25,overcast clouds
